run,tag_1,tag_2,tag_3,latency_ms
1,toys safety,silicone toys,plastic alternatives,20288
2,toy safety,material innovation,parent preferences,25147
3,material comparison,toys safety,tactile design,25557
4,silicon toys safety,plastic toy alternatives,toys material innovation,26445
5,silicone toys safety,plastic vs silicone,soft toy materials,32026
6,silicone vs plastic toys,toy safety comparison,soft toy materials,40280
7,toy safety,silicone toys,plastic alternatives,27016
8,child safety,material comparison,toys safety,27520
9,toys safety,silicone materials,plastic alternatives,20673
10,toys safety,silicone vs plastic,parent preference,33116
11,toys safety,silicone texture,parent appeal,33870
12,silicone toys,plastic alternatives,toys safety,24045
13,toys material comparison,child safety in toys,soft toy materials,28824
14,toys material comparison,child safety toys,flexible toy materials,23861
15,material comparison,safety benefits,tactile appeal,23953
16,toys safety,silicone toys,plastic alternatives,24826
17,toy safety,silicone toys,plastic alternatives,28449
18,toys safety,silicone benefits,sensory play,27354
19,toys safety,silicone benefits,plastic alternatives,30192
20,silicone toy safety,plastic toy alternatives,toys material comparison,25536
